LABEL	MATERIAL	TDLINE	TEMPLATENUMBER	PREVLABEL	OLDTEMPLATE	REVISION	BOMLEVEL	SIZE	LABELSTOCK	LEVEL	QUANTITY	LTNUMBER	BARCODETEXT	CAUTION	CONSULTIFU	DONOTUSEDAM	LATEXFREE	NORESTERILE	SINGLEUSE	ECREP	EXPDATE	LOTGRAPHIC	MANUFACTURER	MFGDATE	PHTDEHP	REFNUMBER	REF	RXONLY	TFXLOGO	ADDRESS	CAUTIONSTATE	CE0120	COOSTATE	ECREPADDRESS	FLGRAPHIC	LABELGRAPH1	LABELGRAPH2	LATEXSTATEMENT	LOGO1	LOGO2	PATENTSTA	STERILITYTYPE
LBL024253	PE102	PE INFANT DRY/WET LF 6/BX	LBL024253	LBL000708	LBL000708	R00	BOM2	"3"" X 2"""	D121                          	Each Unit	1					Y		Y	Y	Y			Y					Y	Y	TFX4LineAdd6i		CE0120	COOProdMexPackMex	ATHLONE4LINE4	LBL000708FL	LBL000708FL			PLEUREVAC2			STERILEEO
LBL024254	S-100-08LF		LBL024254	LBL000710	LBL000710	R00	BOM2	"2.25"" x 1"""	D76                           	Each Unit	1	IPN028483	(01) 1 4026704 63165 7 								Y	Y											COOProdMexPackMex									NONSTERILE
LBL024264			LBL024264	LBL000837			BOM2																																			
LBL024282	S-1100-08LF		LBL024282	LBL005390	T001836	R00	BOM2	"4.75"" X 1"""	D116                          		1	IPN028484	(01) 1 4026704 63166 4 	Y	Y			Y	Y	Y	Y	Y	Y			Y		Y	Y	TFX4LineAdd6i		CE0120	COOProdMexPackMex	ATHLONE4LINE4				NOTMADELATEX				STERILEEO
LBL024285	S-1150-08LF		LBL024285	LBL005393	T001611	R00	BOM2	"4.75"" X 1"""	D116                          		1	IPN028489	(01) 3 4026704 63171 2 		Y			Y	Y	Y	Y	Y	Y	Y	Y	Y		Y	Y	TFX4LineAdd6i		CE0120	COOProdMexPackMex	ATHLONE4LINE4				NOTMADELATEX				STERILEEO
LBL024287			LBL024287	LBL005397	T000567		BOM2					IPN028443	(01) 1 4026704 63124 4 																													
LBL024291	A-8000-08LF		LBL024291	LBL005403	T000567	R00	BOM2					IPN028449	(01) 1 4026704 63130 5 	Y																			COOProdMexPackMex									
LBL024292	A-8002-08LF		LBL024292	LBL005404	T000567	R00	BOM2					IPN028452	(01) 1 4026704 63133 6 	Y																			COOProdMexPackMex									
LBL024294	A-9250LF		LBL024294	LBL005408	T001830	R00	BOM2	"4.75"" X 1"""	D116                          	Each Unit	1	IPN028454	(01) 3 4026704 63135 4 	Y	Y			Y	Y		Y	Y	Y		Y	Y	Y	Y	Y	TFX4LineAdd6i			COOProdMexPackMex					NOTMADELATEX				STERILEEO
LBL024295	S-0500		LBL024295	LBL005409	T000970	R00	BOM2	"4.75"" X 1"""	D116                          			IPN028482	(01) 1 4026704 63164 0 		Y			Y	Y	Y	Y	Y	Y		Y	Y		Y	Y	TFX4LineAdd6i		CE0120	COOProdMexPackMex	ATHLONE4LINE4				NOTMADELATEX				STERILEEO
LBL024297	S-100-08LF		LBL024297	LBL005411	LBL005411	R00	BOM2	"4.75"" X 1"""	D116                          			IPN028483	(01) 3 4026704 63165 1 		Y			Y	Y	Y	Y	Y	Y			Y		Y	Y	TFX4LineAdd6i		CE0120	COOProdMexPackMex	ATHLONE4LINE4				NOTMADELATEX				STERILEEO
LBL024652	S-0500		LBL024652	LBL000743	LBL000743	R00	BOM2	"4.2"" x 5.5"""			1	IPN028482	(01) 3 4026704 63164 4 																	TFX4LineAdd6i		CE0120	COOProdMexPackMex	ATHLONE4LINE4								
LBL024259	S-0500	PLEUR-EVAC MINI SAHARA^^##EXTENDED TUBING	T002401	LBL000741	T000120	R00	BOM2			Each Unit	1			Y	Y	Y	N	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	TFX4LineAdd7i		CE0120	COOProdMexPackMex	ATHLONE4LINE4	LBL024259FL							STERILEEO
